路線名稱,里程KM,名稱,類型
國道3號,0,基金交流道,交流道
國道3號,2,瑪東系統交流道,交流道
國道3號,10,汐止系統交流道,交流道
國道3號,12,新台五路交流道,交流道
國道3號,14,南港交流道,交流道
國道3號,16,南港系統交流道,交流道
國道3號,16,南深路出口匝道,交流道
國道3號,20,木柵交流道,交流道
國道3號,26,新店交流道,交流道
國道3號,31,安坑交流道,交流道
國道3號,35,中和交流道,交流道
國道3號,42,土城交流道,交流道
國道3號,46,樹林交流道,交流道
國道3號,50,三鶯交流道,交流道
國道3號,54,鶯歌系統交流道,交流道
國道3號,62,大溪交流道,交流道
國道3號,68,龍潭交流道,交流道
國道3號,73,高原交流道,交流道
國道3號,79,關西交流道,交流道
國道3號,90,竹林交流道,交流道
國道3號,98,寶山交流道,交流道
國道3號,100,新竹系統交流道,交流道
國道3號,103,茄苳交流道,交流道
國道3號,109,香山交流道,交流道
國道3號,115,西濱交流道,交流道
國道3號,119,竹南交流道,交流道
國道3號,124,大山交流道,交流道
國道3號,130,後龍交流道,交流道
國道3號,144,通霄交流道,交流道
國道3號,156,苑裡交流道,交流道
國道3號,164,大甲交流道,交流道
國道3號,169,中港系統交流道,交流道
國道3號,176,沙鹿交流道,交流道
國道3號,182,龍井交流道,交流道
國道3號,191,和美交流道,交流道
國道3號,196,彰化系統交流道,交流道
國道3號,202,快官交流道,交流道
國道3號,207,烏日交流道,交流道
國道3號,209,中投交流道,交流道
國道3號,211,霧峰交流道,交流道
國道3號,214,霧峰系統交流道,交流道
國道3號,217,草屯交流道,交流道
國道3號,222,中興系統交流道,交流道
國道3號,224,中興交流道,交流道
國道3號,228,南投交流道,交流道
國道3號,237,名間交流道,交流道
國道3號,243,竹山交流道,交流道
國道3號,250,南雲交流道,交流道
國道3號,260,斗六交流道,交流道
國道3號,269,古坑系統交流道,交流道
國道3號,271,古坑交流道,交流道
國道3號,279,梅山交流道,交流道
國道3號,290,竹崎交流道,交流道
國道3號,297,中埔交流道,交流道
國道3號,300,水上系統交流道,交流道
國道3號,311,白河交流道,交流道
國道3號,322,柳營交流道,交流道
國道3號,329,烏山頭交流道,交流道
國道3號,334,官田系統交流道,交流道
國道3號,340,善化交流道,交流道
國道3號,346,新化系統交流道,交流道
國道3號,357,關廟交流道,交流道
國道3號,369,田寮交流道,交流道
國道3號,383,燕巢系統交流道,交流道
國道3號,391,九如交流道,交流道
國道3號,396,屏東交流道,交流道
國道3號,400,長治交流道,交流道
國道3號,407,麟洛交流道,交流道
國道3號,415,竹田系統交流道,交流道
國道3號,421,崁頂交流道,交流道
國道3號,424,南州交流道,交流道
國道3號,430,林邊交流道,交流道
國道3號,431,大鵬灣端,交流道
國道1號,0,基隆端,交流道
國道1號,1,基隆交流道,交流道
國道1號,2,八堵交流道,交流道
國道1號,5,大華系統交流道,交流道
國道1號,6,五堵交流道,交流道
國道1號,10,汐止交流道,交流道
國道1號,11,汐止系統交流道,交流道
國道1號,13,高架道路汐止端,交流道
國道1號,15,東湖交流道,交流道
國道1號,17,內湖交流道,交流道
國道1號,23,圓山交流道,交流道
國道1號,25,台北交流道,交流道
國道1號,27,三重交流道,交流道
國道1號,32,五股轉接道,交流道
國道1號,33,五股交流道,交流道
國道1號,35,泰山轉接道,交流道
國道1號,41,林口交流道,交流道
國道1號,49,桃園交流道,交流道
國道1號,52,機場系統交流道,交流道
國道1號,57,內壢交流道,交流道
國道1號,59,中壢轉接道,交流道
國道1號,62,中壢交流道,交流道
國道1號,65,平鎮系統交流道,交流道
國道1號,67,幼獅交流道,交流道
國道1號,69,楊梅交流道,交流道
國道1號,71,高架道路楊梅端,交流道
國道1號,83,湖口交流道,交流道
國道1號,91,竹北交流道,交流道
國道1號,95,新竹交流道,交流道
國道1號,99,新竹系統交流道,交流道
國道1號,110,頭份交流道,交流道
國道1號,125,頭屋交流道,交流道
國道1號,132,苗栗交流道,交流道
國道1號,140,銅鑼交流道,交流道
國道1號,150,三義交流道,交流道
國道1號,160,后里交流道,交流道
國道1號,165,台中系統交流道,交流道
國道1號,168,豐原交流道,交流道
國道1號,174,大雅交流道,交流道
國道1號,178,台中交流道,交流道
國道1號,181,南屯交流道,交流道
國道1號,189,王田交流道,交流道
國道1號,192,彰化系統交流道,交流道
國道1號,198,彰化交流道,交流道
國道1號,207,埔鹽系統交流道,交流道
國道1號,211,員林交流道,交流道
國道1號,220,北斗交流道,交流道
國道1號,230,西螺交流道,交流道
國道1號,235,虎尾交流道,交流道
國道1號,240,斗南交流道,交流道
國道1號,243,雲林系統交流道,交流道
國道1號,250,大林交流道,交流道
國道1號,257,民雄交流道,交流道
國道1號,264,嘉義交流道,交流道
國道1號,270,水上交流道,交流道
國道1號,272,嘉義系統交流道,交流道
國道1號,288,新營交流道,交流道
國道1號,299,下營系統交流道,交流道
國道1號,303,麻豆交流道,交流道
國道1號,311,安定交流道,交流道
國道1號,315,台南系統交流道,交流道
國道1號,319,永康交流道,交流道
國道1號,324,大灣交流道,交流道
國道1號,327,仁德交流道,交流道
國道1號,330,仁德系統交流道,交流道
國道1號,338,路竹交流道,交流道
國道1號,342,高科交流道,交流道
國道1號,349,岡山交流道,交流道
國道1號,356,楠梓交流道,交流道
國道1號,362,鼎金系統交流道,交流道
國道1號,367,高雄交流道,交流道
國道1號,369,瑞隆路出口匝道,交流道
國道1號,370,五甲系統交流道,交流道
國道1號,372,五甲交流道,交流道
國道1號,373,高雄端,交流道
國道1號,13,汐止端,交流道(高架)
國道1號,18,堤頂交流道,交流道(高架)
國道1號,20,下塔悠出口匝道,交流道(高架)
國道1號,25,環北交流道,交流道(高架)
國道1號,32,五股轉接道,交流道(高架)
國道1號,35,泰山轉接道,交流道(高架)
國道1號,52,機場系統交流道,交流道(高架)
國道1號,59,中壢轉接道,交流道(高架)
國道1號,70,校前路交流道,交流道(高架)
國道1號,71,楊梅端,交流道(高架)
國道3甲,0,台北端,交流道
國道3甲,3,萬芳交流道,交流道
國道3甲,5,木柵交流道,交流道
國道3甲,6,深坑端,交流道
國道8號,0,台南端,交流道
國道8號,2,新吉交流道,交流道
國道8號,6,台南系統交流道,交流道
國道8號,9,新市交流道,交流道
國道8號,14,新化系統交流道,交流道
國道8號,15,新化端,交流道
國道10號,0,左營端,交流道
國道10號,1,鼎金系統交流道,交流道
國道10號,6,仁武交流道,交流道
國道10號,13,燕巢交流道,交流道
國道10號,19,燕巢系統交流道,交流道
國道10號,22,嶺口交流道,交流道
國道10號,25,里港交流道,交流道
國道10號,33,旗山端,交流道
國道2號,0,機場端,交流道
國道2號,1,大園交流道,交流道
國道2號,4,大竹交流道,交流道
國道2號,8,機場系統交流道,交流道
國道2號,11,南桃園交流道,交流道
國道2號,18,大湳交流道,交流道
國道2號,20,鶯歌系統交流道,交流道
國道6號,0,霧峰系統交流道,交流道
國道6號,3,舊正交流道,交流道
國道6號,5,東草屯交流道,交流道
國道6號,17,國姓交流道,交流道
國道6號,25,北山交流道,交流道
國道6號,29,愛蘭交流道,交流道
國道6號,34,埔里交流道,交流道
國道6號,37,埔里端,交流道
國道5號,0,南港系統交流道,交流道
國道5號,4,石碇交流道,交流道
國道5號,30,頭城交流道,交流道
國道5號,38,宜蘭交流道,交流道
