路線名稱,百公尺樁號KM,WGS84_E,WGS84_N
國3甲,0.0,121.5499967,25.01628722
國3甲,0.1,121.5507964,25.01575499
國3甲,0.2,121.551596,25.01522277
國3甲,0.3,121.5524107,25.01471113
國3甲,0.4,121.5533011,25.01432034
國3甲,0.5,121.5542535,25.01407855
國3甲,0.6,121.5552386,25.01399824
國3甲,0.7,121.5562283,25.01403251
國3甲,0.8,121.5572172,25.01408494
國3甲,0.9,121.5582069,25.01411239
國3甲,1.0,121.559189,25.0140081
國3甲,1.1,121.5601244,25.01371717
國3甲,1.2,121.5609698,25.01325052
國3甲,1.3,121.5616854,25.01262891
國3甲,1.4,121.562299,25.0119207
國3甲,1.5,121.5628972,25.01120138
國3甲,1.6,121.5635685,25.01053897
國3甲,1.7,121.5643444,25.00997964
國3甲,1.8,121.5652134,25.00954863
國3甲,1.9,121.5661434,25.0092394
國3甲,2.0,121.5670965,25.00899345
國3甲,2.1,121.5680516,25.00875378
國3甲,2.2,121.5690068,25.0085141
國3甲,2.3,121.5699619,25.00827442
國3甲,2.4,121.5709171,25.00803474
國3甲,2.5,121.5718722,25.00779504
國3甲,2.6,121.5728273,25.00755534
國3甲,2.7,121.5737825,25.00731564
國3甲,2.8,121.5747334,25.00706265
國3甲,2.9,121.5756695,25.00676826
國3甲,3.0,121.5765533,25.0063626
國3甲,3.1,121.5773718,25.00585504
國3甲,3.2,121.5781568,25.0053043
國3甲,3.3,121.5789933,25.00482332
國3甲,3.4,121.5799175,25.00450261
國3甲,3.5,121.58089,25.00433617
國3甲,3.6,121.5818782,25.00427713
國3甲,3.7,121.5828681,25.00424405
國3甲,3.8,121.5838571,25.00419255
國3甲,3.9,121.5848412,25.00409089
國3甲,4.0,121.585815,25.00392641
國3甲,4.1,121.586778,25.0037152
國3甲,4.2,121.5877337,25.00347778
國3甲,4.3,121.588685,25.00322595
國3甲,4.4,121.5896363,25.0029741
國3甲,4.5,121.5905903,25.00273089
國3甲,4.6,121.5915494,25.00250501
國3甲,4.7,121.5925165,25.00230999
國3甲,4.8,121.5934896,25.00214249
國3甲,4.9,121.5944693,25.00200997
國3甲,5.0,121.5954528,25.00190411
國3甲,5.1,121.5964406,25.00183905
國3甲,5.2,121.5974306,25.00182235
國3甲,5.3,121.5984202,25.00185533
國3甲,5.4,121.5994017,25.00197229
國3甲,5.447,121.5998635,25.0020176
國10,0.0,120.3118985,22.68015865
國10,0.1,120.3127592,22.67973756
國10,0.2,120.3136539,22.67938404
國10,0.3,120.3146006,22.67918304
國10,0.4,120.3155717,22.67914788
國10,0.5,120.3165442,22.67917963
國10,0.6,120.3175162,22.67915053
國10,0.7,120.3184776,22.67901351
國10,0.8,120.3194111,22.67876157
國10,0.9,120.3202972,22.67839032
國10,1.0,120.3211335,22.67792918
國10,1.1,120.3219542,22.67744388
國10,1.2,120.3227748,22.67695858
國10,1.3,120.3236047,22.67648716
國10,1.4,120.3244622,22.6760607
國10,1.5,120.3253536,22.67569985
國10,1.6,120.3262822,22.67543288
國10,1.7,120.3272385,22.67527126
國10,1.8,120.328208,22.67520033
國10,1.9,120.3291795,22.67523796
國10,2.0,120.3301399,22.67537815
國10,2.1,120.3310772,22.67561929
國10,2.2,120.3319784,22.67595888
國10,2.3,120.3328515,22.67635732
國10,2.4,120.3337192,22.67676625
國10,2.5,120.3345847,22.67717895
國10,2.6,120.335449,22.67759401
國10,2.7,120.3363133,22.67800906
國10,2.8,120.3371775,22.67842411
國10,2.9,120.3380418,22.67883915
國10,3.0,120.3389061,22.67925419
國10,3.1,120.3397704,22.67966923
國10,3.2,120.3406385,22.68007715
國10,3.3,120.3415124,22.68047448
國10,3.4,120.3423863,22.68087182
國10,3.5,120.3432602,22.68126915
國10,3.6,120.3441342,22.68166647
國10,3.7,120.3450081,22.68206379
國10,3.8,120.345882,22.6824611
國10,3.9,120.3467559,22.68285841
國10,4.0,120.3476299,22.68325572
國10,4.1,120.3485038,22.68365302
國10,4.2,120.3493778,22.68405032
國10,4.3,120.3502517,22.68444761
國10,4.4,120.3511257,22.68484489
國10,4.5,120.3519996,22.68524218
國10,4.6,120.3528711,22.68564411
國10,4.7,120.3537122,22.68609726
國10,4.8,120.3544858,22.68664376
國10,4.9,120.3551914,22.68726465
國10,5.0,120.3558265,22.68794809
國10,5.1,120.3563768,22.68869223
國10,5.2,120.3568411,22.6894851
